Id,Label,Community
AERON,Aeron,Ironborn
AERYS,Aerys,Essos
ALLISER_THORNE,Alliser,North
AREO,Areo,Dorne
ARTHUR,Arthur,Beyond the wall
ARTHUR_CHILD,Arthur (child),King's Landing
ARYA,Arya,Braavos
BALON,Balon,Ironborn
BELICHO,Belicho,Essos
BENJEN,Benjen,Beyond the wall
BERIC,Beric,Riverlands
BIANCA,Bianca,Braavos
BLACK_WALDER,Black Walder,King's Landing
BOBONO,Bobono,Braavos
BOWEN_MARSH,Bowen,North
BRAN,Bran,Beyond the wall
BRIENNE,Brienne,King's Landing
BRONN,Bronn,King's Landing
BRYNDEN,Brynden,King's Landing
CAMELLO,Camello,Braavos
CATELYN,Catelyn,King's Landing
CERSEI,Cersei,King's Landing
CLARENZO,Clarenzo,Braavos
DAARIO,Daario,Essos
DAENERYS,Daenerys,Essos
DAVOS,Davos,North
DICKON,Dickon,Oldtown
DIM_DALBA,Dim Dalba,North
EDDISON_TOLLETT,Eddison,North
DOM,Dom,Essos
DORAN,Doran,Dorne
DOSH_KHALEEN_LEADER,Dosh Khaleen Leader,Essos
DROGO,Drogo,Essos
EDMURE,Edmure,King's Landing
ELLARIA,Ellaria,Dorne
EURON,Euron,Ironborn
FLYNN,Flynn,Riverlands
GATINS,Gatins,Riverlands
GILLY,Gilly,Oldtown
GLOVER,Glover,North
GREY_WORM,Grey Worm,Essos
GUARD_CAPTAIN,Guard Captain,King's Landing
HARALD,Harald,North
HIGH_SPARROW,High Sparrow,King's Landing
HODOR,Hodor,Beyond the wall
HOSTER,Hoster,King's Landing
HOUND,Sandor,Riverlands
HOWLAND,Howland,Beyond the wall
IZEMBARO,Izembaro,Braavos
JAIME,Jaime,King's Landing
JAQEN,Jaqen,Braavos
JEOR,Jeor,North
JOFFREY,Joffrey,Braavos
JON,Jon,North
JORAH,Jorah,Essos
KEVAN,Kevan,King's Landing
KHAL_MORO,Khal Moro,Essos
KINVARA,Kinvara,Essos
KRAZNYS_MO_NAKLOZ,Kraznys,Essos
LADY_CRANE,Lady Crane,Braavos
LANCEL,Lancel,King's Landing
LEAF,Leaf,Beyond the wall
LEM,Lem,Riverlands
LHAZAREEN_WOMAN,Lhazareen Woman,Essos
LITTLE_SAM,Little Sam,Oldtown
LITTLEFINGER,Petyr,North
LORAS,Loras,King's Landing
LOTHAR,Lothar,King's Landing
LYANNA,Lyanna,Beyond the wall
LYANNA_MORMONT,Lyanna Mormont,North
MACE,Mace,King's Landing
MAESTER_AEMON,Aemon,Oldtown
MAESTER_CITADEL,Citadel Maester,Oldtown
MAESTER_DORNE,Dorne Maester,Dorne
MAESTER_MORMONT,Mormont Maester,North
MAESTER_WOLKAN,Wolkan,North
MANCE,Mance,North
MANDERLY,Manderly,North
MARGAERY,Margaery,King's Landing
MEERA,Meera,Beyond the wall
MELESSA,Melessa,Oldtown
MELISANDRE,Melisandre,North
MINISA,Minisa,King's Landing
MISSANDEI,Missandei,Essos
MORGAN,Morgan,Riverlands
MOUNTAIN,Gregor,King's Landing
MYRANDA,Myranda,North
MYRCELLA,Myrcella,King's Landing
NED,Ned,Beyond the wall
NIGHT_KING,Night King,Beyond the wall
NYMERIA,Nymeria,Dorne
OBARA,Obara,Dorne
OBERYN,Oberyn,Dorne
OLD_NAN,Old Nan,Beyond the wall
OLENNA,Olenna,King's Landing
OLLY,Olly,North
OSHA,Osha,North
OTHELL_YARWYCK,Othell,North
PODRICK,Podrick,King's Landing
PYCELLE,Pycelle,King's Landing
QYBURN,Qyburn,King's Landing
RAMSAY,Ramsay,North
RANDYLL,Randyll,Oldtown
RAY,Ray,Riverlands
RAZDAL,Razdal,Essos
RED_PRIEST,Red Priest,Essos
RICKARD_KARSTARK,Rickard Karstark,North
RICKARD_STARK,Rickard Stark,Beyond the wall
RICKON,Rickon,North
ROBB,Robb,North
ROBERT,Robert,Braavos
ROBETT,Robett,North
ROBIN,Robin,North
RODRIK,Rodrik,Beyond the wall
ROOSE_BOLTON,Roose,North
SAM,Sam,Oldtown
SANSA,Sansa,North
SEPTA_UNELLA,Septa Unella,King's Landing
SHIREEN,Shireen,North
SMALLJON,Smalljon,North
SON_OF_EDMURE,Edmure's Son,King's Landing
SON_OFWALDA,Roose's Son,North
STANNIS,Stannis,North
TALLA,Talla,Oldtown
THEON,Theon,Ironborn
THOROS,Thoros,Riverlands
THREE_EYED_RAVEN,Three Eyed Raven,Beyond the wall
TOMMEN,Tommen,King's Landing
TORMUND,Tormund,North
TRYSTANE,Trystane,Dorne
TYENE,Tyene,Dorne
TYRION,Tyrion,Essos
TYWIN,Tywin,Braavos
VALA,Vala,Essos
VARYS,Varys,Essos
WAIF,Waif,Braavos
WALDA,Walda,North
WALDER,Walder,King's Landing
WUN_WUN,Wun Wun,North
YARA,Yara,Ironborn
YEZZAN,Yezzan,Essos
YOHN_ROYCE,Yohn,North
